id,treatment,condition,day,temp,weight,score,il6
M01,treated,endpoint,-1,37.15,25.17,0,35.1
M01,treated,endpoint,0,37.26,25.25,0,39.5
M01,treated,endpoint,1,35.83,23.12,4,162.0
M01,treated,endpoint,2,35.29,21.82,5,218.8
M01,treated,endpoint,3,35.12,21.44,7,252.8
M01,treated,endpoint,4,35.22,20.92,7,266.9
M01,treated,endpoint,5,34.47,20.74,7,280.0
M01,treated,endpoint,6,,,,
M01,treated,endpoint,7,,,,
M02,treated,endpoint,-1,37.37,21.87,0,48.5
M02,treated,endpoint,0,37.32,21.94,0,51.4
M02,treated,endpoint,1,36.13,20.15,3,194.1
M02,treated,endpoint,2,35.72,19.31,5,280.2
M02,treated,endpoint,3,35.39,18.82,6,317.3
M02,treated,endpoint,4,34.86,18.49,7,343.6
M02,treated,endpoint,5,35.01,18.29,7,368.0
M02,treated,endpoint,6,35.2,18.11,7,372.2
M02,treated,endpoint,7,,,,
M03,treated,survivor,-1,37.29,24.65,0,39.1
M03,treated,survivor,0,37.28,24.74,0,32.9
M03,treated,survivor,1,36.61,23.2,2,117.3
M03,treated,survivor,2,36.17,22.61,3,165.0
M03,treated,survivor,3,36.11,22.22,4,187.0
M03,treated,survivor,4,36.54,22.45,3,162.8
M03,treated,survivor,5,36.6,23.12,3,126.1
M03,treated,survivor,6,36.49,23.46,2,104.0
M03,treated,survivor,7,37.13,24.11,1,70.4
M04,treated,survivor,-1,37.09,24.99,0,36.1
M04,treated,survivor,0,36.88,24.98,0,37.1
M04,treated,survivor,1,36.57,23.95,1,93.4
M04,treated,survivor,2,36.6,23.55,2,118.1
M04,treated,survivor,3,36.27,23.08,3,138.1
M04,treated,survivor,4,36.09,23.38,3,151.1
M04,treated,survivor,5,36.46,23.51,2,100.4
M04,treated,survivor,6,36.52,24.11,2,86.4
M04,treated,survivor,7,36.94,24.76,1,58.1
S01,sham,sham,-1,37.49,25.34,0,49.6
S01,sham,sham,0,37.67,25.39,0,58.1
S01,sham,sham,1,37.1,25.39,1,74.9
S01,sham,sham,2,37.27,24.88,0,75.6
S01,sham,sham,3,37.02,24.89,0,72.0
S01,sham,sham,4,37.17,25.23,1,78.6
S01,sham,sham,5,37.51,25.12,1,88.2
S01,sham,sham,6,37.53,25.03,0,75.9
S01,sham,sham,7,37.47,25.21,0,44.4
S02,sham,sham,-1,37.18,24.96,0,36.6
S02,sham,sham,0,37.19,25.0,0,51.9
S02,sham,sham,1,36.68,24.88,0,51.8
S02,sham,sham,2,36.99,24.77,1,44.5
S02,sham,sham,3,36.7,24.65,1,66.5
S02,sham,sham,4,37.19,24.75,0,60.5
S02,sham,sham,5,37.07,24.98,1,50.0
S02,sham,sham,6,36.83,24.95,0,50.5
S02,sham,sham,7,37.26,24.67,0,38.2
